date,aircraft_official,helicopter_official,tank_official,APC_official,field_artillery_official,MRL_official,military_auto_official,fuel_tank_official,drone_official,naval_ship_official,anti_aircraft_warfare_official,special_equipment_official,mobile_SRBM_system_official,vehicles_and_fuel_tanks_official,cruise_missiles_official,submarines_official,ground_robotic_systems_official,APC_ws,MRL_ws,aircraft_ws,anti_aircraft_warfare_ws,drone_ws,field_artillery_ws,helicopter_ws,naval_ship_ws,tank_ws
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0
2022-02-25,10.0,7.0,80.0,516.0,49.0,4.0,100.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,4.0
2022-02-26,17.0,19.0,66.0,190.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0
2022-02-27,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,29.0
2022-02-28,2.0,3.0,0.0,110.0,24.0,17.0,161.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,16.0
2022-03-01,0.0,0.0,48.0,30.0,3.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,3.0,0.0,7.0,0.0,0.0,14.0
2022-03-02,1.0,2.0,13.0,16.0,8.0,16.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0
2022-03-03,0.0,0.0,6.0,38.0,5.0,2.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,15.0
2022-03-04,3.0,6.0,34.0,39.0,15.0,8.0,30.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,10.0
2022-03-05,6.0,3.0,18.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,3.0,3.0,1.0,3.0,6.0,0.0,3.0
2022-03-06,5.0,8.0,16.0,40.0,4.0,0.0,38.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,9.0
