Time_Period,Equipment,mle_official,mle_warspotting,exact_ci_official,exact_ci_warspotting,bootstrap_bca_official,bootstrap_bca_warspotting,p_value,is_significant_diff
1_Total_Conflict,tank,7.68,2.58,"[np.float64(7.54), np.float64(7.82)]","[np.float64(2.5), np.float64(2.66)]","[np.float64(7.13), np.float64(8.33)]","[np.float64(2.32), np.float64(2.89)]",0.0,True
1_Total_Conflict,APC,15.84,5.98,"[np.float64(15.64), np.float64(16.03)]","[np.float64(5.86), np.float64(6.1)]","[np.float64(14.85), np.float64(17.87)]","[np.float64(5.43), np.float64(6.65)]",0.0,True
1_Total_Conflict,aircraft,0.28,0.08,"[np.float64(0.26), np.float64(0.31)]","[np.float64(0.07), np.float64(0.1)]","[np.float64(0.22), np.float64(0.44)]","[np.float64(0.06), np.float64(0.12)]",1.0701873088526767e-41,True
1_Total_Conflict,helicopter,0.23,0.09,"[np.float64(0.2), np.float64(0.25)]","[np.float64(0.07), np.float64(0.1)]","[np.float64(0.17), np.float64(0.36)]","[np.float64(0.06), np.float64(0.14)]",8.738092436718951e-24,True
1_Total_Conflict,field_artillery,27.6,0.94,"[np.float64(27.34), np.float64(27.86)]","[np.float64(0.89), np.float64(0.99)]","[np.float64(25.53), np.float64(29.97)]","[np.float64(0.83), np.float64(1.07)]",0.0,True
1_Total_Conflict,drone,205.6,0.52,"[np.float64(204.89), np.float64(206.31)]","[np.float64(0.49), np.float64(0.56)]","[np.float64(155.26), np.float64(274.31)]","[np.float64(0.46), np.float64(0.58)]",0.0,True
2_2022_Initial_Phases,tank,9.74,4.44,"[np.float64(9.4), np.float64(10.09)]","[np.float64(4.21), np.float64(4.68)]","[np.float64(8.58), np.float64(11.93)]","[np.float64(3.57), np.float64(5.51)]",2.7716434583511512e-139,True
2_2022_Initial_Phases,APC,19.58,9.17,"[np.float64(19.09), np.float64(20.08)]","[np.float64(8.84), np.float64(9.51)]","[np.float64(17.51), np.float64(27.33)]","[np.float64(7.42), np.float64(11.61)]",1.5099092379857566e-262,True
2_2022_Initial_Phases,aircraft,0.91,0.19,"[np.float64(0.81), np.float64(1.02)]","[np.float64(0.14), np.float64(0.24)]","[np.float64(0.67), np.float64(1.39)]","[np.float64(0.12), np.float64(0.32)]",3.209034615516328e-36,True
2_2022_Initial_Phases,helicopter,0.86,0.23,"[np.float64(0.76), np.float64(0.97)]","[np.float64(0.18), np.float64(0.29)]","[np.float64(0.61), np.float64(1.35)]","[np.float64(0.14), np.float64(0.41)]",6.993072189087877e-28,True
2_2022_Initial_Phases,field_artillery,6.48,1.55,"[np.float64(6.2), np.float64(6.77)]","[np.float64(1.42), np.float64(1.7)]","[np.float64(5.61), np.float64(7.85)]","[np.float64(1.2), np.float64(2.0)]",1.861414527294145e-221,True
2_2022_Initial_Phases,drone,5.61,0.63,"[np.float64(5.35), np.float64(5.88)]","[np.float64(0.54), np.float64(0.72)]","[np.float64(4.52), np.float64(6.92)]","[np.float64(0.51), np.float64(0.74)]",2.6511809646085e-311,True
3_2023_Attrition_War,tank,8.08,2.4,"[np.float64(7.79), np.float64(8.38)]","[np.float64(2.25), np.float64(2.57)]","[np.float64(6.96), np.float64(9.42)]","[np.float64(2.14), np.float64(2.7)]",1.6289633250306857e-259,True
3_2023_Attrition_War,APC,13.68,4.45,"[np.float64(13.31), np.float64(14.07)]","[np.float64(4.23), np.float64(4.67)]","[np.float64(12.21), np.float64(16.12)]","[np.float64(4.02), np.float64(5.06)]",0.0,True
3_2023_Attrition_War,aircraft,0.13,0.06,"[np.float64(0.09), np.float64(0.17)]","[np.float64(0.04), np.float64(0.09)]","[np.float64(0.08), np.float64(0.18)]","[np.float64(0.03), np.float64(0.1)]",0.0021862431776861714,True
3_2023_Attrition_War,helicopter,0.15,0.1,"[np.float64(0.11), np.float64(0.2)]","[np.float64(0.07), np.float64(0.14)]","[np.float64(0.1), np.float64(0.23)]","[np.float64(0.04), np.float64(0.29)]",0.058573528410188855,False
3_2023_Attrition_War,field_artillery,17.67,1.27,"[np.float64(17.24), np.float64(18.1)]","[np.float64(1.16), np.float64(1.4)]","[np.float64(15.28), np.float64(20.06)]","[np.float64(1.12), np.float64(1.45)]",0.0,True
3_2023_Attrition_War,drone,13.27,0.4,"[np.float64(12.9), np.float64(13.65)]","[np.float64(0.34), np.float64(0.47)]","[np.float64(11.76), np.float64(15.56)]","[np.float64(0.33), np.float64(0.48)]",0.0,True
4_2024_2026_Stalemate,tank,6.79,2.0,"[np.float64(6.61), np.float64(6.96)]","[np.float64(1.91), np.float64(2.09)]","[np.float64(6.13), np.float64(7.55)]","[np.float64(1.74), np.float64(2.27)]",0.0,True
4_2024_2026_Stalemate,APC,15.4,5.49,"[np.float64(15.15), np.float64(15.67)]","[np.float64(5.34), np.float64(5.65)]","[np.float64(13.65), np.float64(17.43)]","[np.float64(4.75), np.float64(6.17)]",0.0,True
4_2024_2026_Stalemate,aircraft,0.12,0.05,"[np.float64(0.1), np.float64(0.15)]","[np.float64(0.04), np.float64(0.07)]","[np.float64(0.07), np.float64(0.3)]","[np.float64(0.03), np.float64(0.12)]",3.7243110321213404e-07,True
4_2024_2026_Stalemate,helicopter,0.03,0.03,"[np.float64(0.02), np.float64(0.05)]","[np.float64(0.02), np.float64(0.04)]","[np.float64(0.02), np.float64(0.05)]","[np.float64(0.02), np.float64(0.04)]",0.7877061896700431,False
4_2024_2026_Stalemate,field_artillery,39.15,0.58,"[np.float64(38.74), np.float64(39.57)]","[np.float64(0.53), np.float64(0.64)]","[np.float64(36.72), np.float64(41.48)]","[np.float64(0.5), np.float64(0.67)]",0.0,True
4_2024_2026_Stalemate,drone,355.71,0.54,"[np.float64(354.47), np.float64(356.96)]","[np.float64(0.49), np.float64(0.59)]","[np.float64(269.97), np.float64(462.17)]","[np.float64(0.45), np.float64(0.63)]",0.0,True
